nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
SERTAO I SOLAR ENERGIA SPE,Sertao I Solar Energia Spe S.A.,,,
SHARP CAPITAL GESTORA RECURSOS,,Sharp Capital Gestora de Recursos Ltda.,,27957477000116
SICOOB COCRED COOPERATIVA CREDITO,Sicoob Cocred Cooperativa de Credito,,,
SICOOB CREDICOM,,Sicoob Credicom - Cooperativa de Economia e Crédito Mútuo dos Médicos e Profissionais da Área de Saúde do Brasil Ltda.,,
SICOOB DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,Sicoob Distribuidora de Titulos e Valores Mobiliarios Ltda.,,,07397614000106
SICREDI ASSET MANAGEMENT,Sicredi Asset Management,,,
SIMPAR,Simpar S.A.,Simpar S.A.,Simpar S.A.,07415333000120
SISPRIME,Sisprime do Brasil - Cooperativa de Credito,,,
SLC AGRICOLA,,SLC Agrícola S.A.,SLC Agricola S/A,89096457000155
SMARTFIT ESCOLA GINASTICA DANCA,Smartfit Escola de Ginastica e Danca S.A.,,,07594978000178
SOBRAL I SOLAR ENERGIA SPE,Sobral I Solar Energia SPE S.A.,,,
SOCIEDADE ABASTECIMENTO AGUA SANEAMENTO,Sociedade de Abastecimento de Agua e Saneamento S.A.,,,46119855000137
SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,,,
SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA HOSPITAL ALBERT EINSTEIN,,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,,
SOFTPLAN,,Softplan S.A.,,
SOL AGORA GREEN ESG FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Sol Agora Green ESG Fundo de Investimento em Direitos Creditórios,,
SOL AGORA GREEN III ESG FUNDO INVESTIMENTO DIREITOS CREDITORIOS IS SEGMENTO FINANCEIRO RESPONSABILDADE LIMITADA,,Sol Agora Green III ESG Fundo de Investimento em Direitos Creditórios IS Segmento Financeiro de Responsabildade Limitada,,
SOLAR BEBIDAS,Solar Bebidas S.A.,Solar Bebidas S.A.,,41052420000107
SOLARIS TRANSMISSAO ENERGIA,Solaris Transmissao de Energia S.A.,,,
SOLFACIL,,Solfacil - CRI V,,
SOLFACIL CREDITO PESSOAL VII FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,Solfácil Crédito Pessoal VII Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,
SOLIS INVESTIMENTOS,,Solis Investimentos Ltda,,17254708000171
SOLVI ESSENCIS AMBIENTAL,,,Solvi Essencis Ambiental S.A.,40263170000183
SOMMA INVESTIMENTOS,,Somma Investimentos S.A.,,05563299000106
SOMOS SISTEMAS ENSINO,Somos Sistemas de Ensino S.A.,,,
SONORA ESTANCIA,,,Sonora Estancia S.A.,
SOROCABA REFRESCOS,,Sorocaba Refrescos S.A.,,
SOULPAY FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Soulpay Fundo de Investimento em Direitos Creditórios,,
SPAR I SUBHOLDING,SPAR I Subholding S.A.,,,
SPE CONCESSIONARIA AEROPORTO ILHEUS,,SPE Concessionária do Aeroporto de Ilhéus S.A.,,
SPE CONCESSIONARIA VOE XAP,,SPE Concessionária Voe XAP S.A.,,
SPE NOVO NORTE AEROPORTOS,,SPE Novo Norte Aeroportos S.A.,,48710127000120
SPE TRANSMISSORA ENERGIA LINHA VERDE I,,,SPE Transmissora de Energia Linha Verde I S.A.,
SPE TRANSMISSORA ENERGIA LINHA VERDE II,SPE Transmissora de Energia Linha Verde II S.A.,,,
SPECTRA INVESTIMENTOS,,Spectra Investimentos Ltda.,,44011526000142
SPIC ENERGIA PARTICIPACOES,Spic Brasil Energia Participacoes S.A.,,SPIC Brasil Energia Participacoes S.A.,
SPX GESTAO RECURSOS,,SPX Gestão de Recursos Ltda.,,12330774000160
SRBT SUBHOLDING,SRBT Subholding S.A.,,,
SRM SEC SECURITIZADORA,,,SRM Sec Securitizadora S.A.,
STARK BANK,Stark Bank S.A. - Instituicao de Pagamento,Stark Bank S.A. – Instituição de Pagamento,Stark Bank S.A. - Instituição de Pagamento,
STATE GRID BRAZIL HOLDING,,State Grid Brazil Holding S.A.,,
STELLANTIS FINANCIAMENTOS SOCIEDADE CREDITO,,"Stellantis Financiamentos Sociedade de Crédito, Financiamento e Investimento S.A.",,
STONE INSTITUICAO PAGAMENTO,,,Stone Instituicao de Pagamento S.A.,
STONE SOCIEDADE CREDITO,,"Stone Sociedade de Crédito, Financiamento e Investimento S.A.","Stone Sociedade de Credito, Financiamento e Investimento S.A.",
SUL AMERICA COMPANHIA SEGURO SAUDE,Sul America Companhia de Seguro Saude,,,
SUL AMERICA INVESTIMENTOS DTVM,,,Sul America Investimentos DTVM S.A.,32206435000183
SUL CONCESSOES PARTICIPACOES,,Sul Concessões e Participações S.A.,,
SUMUP SMART I FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart I FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,
SUMUP SMART II FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart II FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,
SUMUP SMART III FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart III FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,
SUMUP SMART IV FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart IV FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,
SUNO ENERGIAS LIMPAS PROJETOS MADUROS,Suno Energias Limpas Projetos Maduros S.A,,,
SUZANO,Suzano S.A.,Suzano S.A.,Suzano S.A.,16404287000155
SWISS RE CORPORATE SOLUTIONS SEGUROS,,Swiss Re Corporate Solutions Brasil Seguros S.A.,,
SYN PROP TECH,,SYN Prop e Tech S.A.,,08801621000186
SYNGENTA TECH I FIDC,Syngenta Tech I FIDC,,,
T V V,T V V - Terminal de Vila Velha S.A.,,,
TCC,TCC - Transmissora Caminho do Cafe S.A.,,,
TECNOLOGIA BANCARIA,,,Tecnologia Bancaria S.A.,
TECNOLOGIA PARTICIPACOES,,,Brasil Tecnologia E Participacoes S.A.,35764708000101
TECP,TECP - Transmissora de Energia Central Paulistana S.A.,,,
TEGMA GESTAO LOGISTICA,Tegma Gestao Logistica S.A.,,,02351144000118
TELEFONICA,Telefonica Brasil S.A.,Telefônica Brasil S.A.,Telefonica Brasil S.A.,02558157000162
TEREOS ACUCAR ENERGIA,,,Tereos Acucar & Energia Brasil SA,
TERP GLBL I PARTICIPACOES,,TERP GLBL Brasil I Participações S.A.,,21748188000120
TERRENOS HOLDING,,,Brasil Terrenos Holding S.A.,
TESC,TESC -Terminal Santa Catarina S.A.,,,01115535000170
TGR SUBHOLDING 4,TGR Subholding 4 S.A.,,,
TGR SUBHOLDING 7,TGR Subholding 7 S.A.,,,
THOPEN ENERGIA,,Thopen Energia S.A. (sucessora da RZK Energia S.A.),,
THOPEN SOLAR 07,Thopen Solar 07 S.A,,,
THOPEN SOLAR 10,,Thopen Solar 10 S.A.,,
THOPEN SOLAR 12 SPE,,Thopen Solar 12 SPE S.A.,,
THOPEN SOLAR 55 SPE,,Thopen Solar 55 SPE S.A.,,
TIBAGI ENERGIA SPE,Tibagi Energia SPE S.A.,,,
TIETE EOLICA,Tiete Eolica S.A.,,,
TIGRE PARTICIPACOES,,,Tigre S.A. Participacoes,84684455000163
TIM,TIM S.A.,,,02421421000111
TIM SERVICOS PARTICIPACOES,TIM Brasil Servicos e Participacoes S.A.,,,02600854000134
TIVIO CAPITAL DTVM,,,Tivio Capital DTVM S.A.,
TOKIO MARINE SEGURADORA,,Tokio Marine Seguradora S.A.,,
TOP SERVICE SERVICOS SISTEMAS,,Top Service Serviços e Sistemas S.A.,,
TOTALENERGIES DRACENA PARTICIPACOES,Totalenergies Dracena Participacoes S.A.,,,
TOTVS,TOTVS S.A.,,,53113791000122
TPE,TPE - Transmissora Paraiso de Energia SA,,,
TRADEMASTER III FIDC RECEBIVEIS COMERCIAIS,Trademaster III FIDC Recebiveis Comerciais - Responsabilidade Limitada,,,
TRANSENERGIA RENOVAVEL,,Transenergia Renovável S.A.,,
TRANSENERGIA SAO PAULO,,Transenergia São Paulo S.A.,,
TRANSMISSORA ALIANCA ENERGIA ELETRICA,Transmissora Alianca de Energia Eletrica S.A.,Transmissora Aliança de Energia Elétrica S.A. (TAESA),,07859971000130
TRANSMISSORA JOSE MARIA MACEDO ELETRICIDADE,Transmissora Jose Maria de Macedo de Eletricidade S.A.,,,21728083000100
TRANSMISSORA SP,Transmissora SP-MG S.A.,,,
TRANSPORTADORA ASSOCIADA GAS,Transportadora Associada de Gas S.A. - TAG,Transportadora Associada de Gás S.A. - TAG,,
TRAVELEX BANCO CAMBIO,Travelex Banco de Cambio S.A.,,,
TRAVESSIA SECURITIZADORA CREDITOS FINANCEIROS,,"Travessia Securitizadora de Creditos Financeiros S.A. – 1ª, 2ª, 3ª, 4ª, 5ª e 6ª Series da 20ª Emissao de Debêntures (C6 Bank)",Travessia Securitizadora de Creditos Financeiros S.A.,38042694000100
TRES TENTOS AGROINDUSTRIAL,,,Tres Tentos Agroindustrial S.A.,94813102000170
TRIGONO CAPITAL,,Trígono Capital Ltda.,,28925400000127
TRISUL,,,Trisul S.A.,08811643000127
TROPICALIA TRANSMISSORA ENERGIA,,Tropicália Transmissora de Energia S.A.,,
TRSP,TRSP - Terminal de Regaseificacao de GNL de Sao Paulo S.A,,,
TRUE SECURITIZADORA,,True Securitizadora S.A - Série Única da 50ª Emissão de CRIs (Risco São Carlos),True Securitizadora S.A.,12130744000100
TRUSTHUB SECURITIZADORA 2022,Trusthub Securitizadora 2022-2 (Debenture SRM),,,
TRX SECURITIZADORA,,TRX Securitizadora S.A. - 13ª Série da 1ª Emissão de CRIs (Risco Ambev),,11716471000117
TSM,TSM -Transmissora Serra da Mantiqueira S.A.,,,
TUCANO HOLDING II,,Tucano Holding II S.A.,,
TUCANO HOLDING III,Tucano Holding III S.A.,,,
TUPI ENERGIAS RENOVAVEIS,Tupi Energias Renovaveis S.A.,,,59115685000164
TUPY,Tupy S.A.,,Tupy S.A.,84683374000149
UHE SAO SIMAO ENERGIA,UHE Sao Simao Energia S.A.,,UHE Sao Simao Energia S.A.,
ULTRACARGO LOGISTICA,,Ultracargo Logística S.A.,,
ULTRAFERTIL,Ultrafertil S.A.,,Ultrafertil S.A.,
ULTRAPAR PARTICIPACOES,,Ultrapar Participações S.A.,Ultrapar Participacoes S.A.,33256439000139
UNIAO QUIMICA FARMACEUTICA NACIONAL,Uniao Quimica Farmaceutica Nacional S.A.,,,60665981000118
UNIDAS LOCACOES SERVICOS,Unidas Locacoes E Servicos S/A,Unidas Locações e Serviços S.A.,,75609123000123
UNIDAS LOCADORA,,Unidas Locadora S.A.,,45736131000170
UNIFIQUE TELECOMUNICACOES,,,Unifique Telecomunicacoes S.A.,02255187000108
UNIPAR CARBOCLORO,Unipar Carbocloro S.A.,,,33958695000178
UNIPRIME IGUACU,,"Uniprime do Iguaçu – Cooperativa de Crédito, Poupança e Investimento",,
UNIPRIME PIONEIRA COOPERATIVA CREDITO,,Uniprime Pioneira Cooperativa de Crédito,,
USIMINAS INTERNATIONAL R.L.,Usiminas International S.a r.l.,,,
USINA BATATAIS,,,Usina Batatais SA - Acucar e Alcool,
USINA CORURIPE ACUCAR ALCOOL,,S.A. Usina Coruripe Açúcar e Álcool,,
USINA SANTA ADELIA,,,Usina Santa Adelia S.A.,
USINA SAO JOSE ESTIVA ACUCAR ALCOOL,,,Usina Sao Jose da Estiva S/A Acucar e Alcool,
USINA TERMELETRICA PAMPA SUL,Usina Termeletrica Pampa Sul S.A.,,Usina Termeletrica Pampa Sul S.A.,04739720000124
USINAS ITAMARATI,,,Usinas Itamarati S.A.,
USINAS SIDERURGICAS MINAS GERAIS,Usinas Siderurgicas de Minas Gerais S.A. (Usiminas),Usinas Siderúrgicas de Minas Gerais S.A. - Usiminas,Usinas Siderurgicas de Minas Gerais S.A.,
UTE GNA I GERACAO ENERGIA,,,UTE GNA I Geracao de Energia S.A.,
UTE GNA II GERACAO ENERGIA,UTE Gna II Geracao de Energia S.A.,,,
V.TAL REDE NEUTRA TELECOMUNICACOES,,,V.Tal Rede Neutra e Telecomunicacoes S.A.,
V2I ENERGIA,V2i Energia S.A.,,,
VALE,Vale S.A.,Vale S.A.,Vale S.A.,33592510000154
VALE TIJUCO ACUCAR ALCOOL,,,Vale do Tijuco Acucar e Alcool S.A.,
VALID SOLUCOES,,Valid Soluções S.A.,,33113309000147
VAMOS LOCACAO CAMINHOES,"Vamos Locacao de Caminhoes, Maquinas e Equipamentos S.A.","Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.","Vamos Locacao de Caminhoes, Maquinas e Equipamentos S.A.",23373000000132
VDB F2 GERACAO ENERGIA,VDB F2 Geracao de Energia S.A.,,,
VELEIROS HOLDINGS,Veleiros Holdings S.A.,,,
VELT PARTNERS INVESTIMENTOS,,Velt Partners Investimentos Ltda,,23862803000150
VENTOS SANTA TEREZA 07 ENERGIAS RENOVAVEIS,Ventos de Santa Tereza 07 Energias Renovaveis S.A.,,,
VENTOS SANTO ESTEVAO HOLDING,Ventos de Santo Estevao Holding S.A.,,,
VENTOS SAO CLEMENTE HOLDING,Ventos de Sao Clemente Holding S.A.,,,
VENTOS SAO JOAO XXIII ENERGIAS RENOVAVEIS,Ventos de Sao Joao XXIII Energias Renovaveis S.A.,,,
VENTOS SAO JORGE HOLDING,Ventos de Sao Jorge Holding S.A.,,,
VENTOS SAO LUCIO I ENERGIAS RENOVAVEIS,Ventos de Sao Lucio I Energias Renovaveis S.A.,,,
VENTOS SAO TITO HOLDING,Ventos de Sao Tito Holding S.A.,,,
VENTOS SAO TOME HOLDING,Ventos de Sao Tome Holding S.A.,,,
VENTOS SUL ENERGIA,Ventos do Sul Energia S.A.,,,06016348000153
VERDE 08 ENERGIA,Verde 08 Energia S.A.,,,
VERDE AMBIENTAL ALAGOAS,,,Verde Ambiental Alagoas S.A.,
VERDECARD FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,VerdeCard Fundo de Investimento em Direitos Creditorios Responsabilidade Limitada,
VERO,,,Vero,31748174000160
VERT CIA SECURITIZADORA 2019,Vert Cia Securitizadora 2019-30-1 (Klabin),,,
VERT CIA SECURITIZADORA 2020,Vert Cia Securitizadora 2020-46-1 (BRF),,,
VERT CIA SECURITIZADORA 2021,Vert Cia Securitizadora 2021-60-1 (BRF),,,
VERT CIA SECURITIZADORA 2022,"Vert Cia Securitizadora 2022-89-1,2 (Mercado Livre)",,,
VERT CIA SECURITIZADORA 2023,"Vert Cia Securitizadora 2023-92-1,2,3,4 (Belagricola)",,,
VERT CIA SECURITIZADORA 2026,"Vert Cia Securitizadora 2026-36-1,2,3,4,5 (J&F)",,,
VERT COMPANHIA SECURITIZADORA,,Vert Companhia Securitizadora  - Série Única da 166ª Emissão de CRIs (Risco Pacaembu),Vert Companhia Securitizadora,25005683000109
VERT CSCF 2024,"Vert CSCF 2024-5-1,2,3 (BMG 6)",,,
VERTERA HOLDING,Vertera Holding S.A.,,,
VESTE ESTILO,Veste S.A. Estilo,,,49669856000143
VIA APPIA CONCESSOES,,,Via Appia Concessoes S.A.,
VIA BR 163 CONCESSIONARIA RODOVIAS,,Via Brasil BR 163 Concessionária de Rodovias S.A.,,44067725000172
VIA INVEST II FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,Via Invest II Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,
VIA MT 246 CONCESSIONARIA RODOVIAS,Via Brasil MT 246 Concessionaria de Rodovias S.A.,,,
VIA MT 320 CONCESSIONARIA RODOVIAS,Via Brasil MT 320 Concessionaria De Rodovias S.A.,,,
VIA PAULISTA,,,Via Paulista S.A.,
VIARONDON CONCESSIONARIA RODOVIA,ViaRondon Concessionaria de Rodovia S.A.,,,10635691000153
VIBRA ENERGIA,,Vibra Energia S.A.,,34274233000102
VILA PIAUI 1 EMPREENDIMENTOS PARTICIPACOES,Vila Piaui 1 Empreendimentos e Participacoes S.A.,,,
VILA PIAUI 2 EMPREENDIMENTOS PARTICIPACOES,Vila Piaui 2 Empreendimentos e Participacoes S.A.,,,
VINCI CREDITO INFRA INSTITUCIONAL FUNDO INCENTIVADO INVESTIMENTO INFRAESTRUTURA RENDA FIXA,Vinci Credito Infra Institucional Fundo Incentivado de Investimento em Infraestrutura Renda Fixa,,,
VINCI ENERGIA SUSTENTAVEL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,Vinci Energia Sustentavel Fundo de Investimento em Direitos Creditorios,,,
VINCI EQUITIES GESTORA RECURSOS,,Vinci Equities Gestora de Recursos Ltda.,,10917835000164
VINCI GESTORA RECURSOS,,Vinci Gestora de Recursos Ltda,,11077576000173
VINCI SOLUCOES INVESTIMENTOS,,Vinci Soluções de Investimentos Ltda.,,13421810000163
VINLAND CAPITAL MANAGEMENT CREDITO PRIVADO GESTORA RECURSOS,,Vinland Capital Management Crédito Privado Gestora de Recursos Ltda,,31846872000107
VINLAND CAPITAL MANAGEMENT GESTORA RECURSOS,,Vinland Capital Management Gestora de Recursos Ltda,,07341777000169
VIRGO COMPANHIA SECURITIZACAO,,Virgo Companhia de Securitizacao – Serie Unica da 248ª Emissao de CRIs (Risco Einstein),,
VIRGO II CIA SECURITIZACAO 2018,"Virgo II Cia de Securitizacao 2018-1-9,10,11 (Vibra Energia)",,,
VITRU EDUCACAO,Vitru Educacao S.A.,,Vitru Educacao S.A.,20512706000140
VIVARA PARTICIPACOES,Vivara Participacoes S.A.,,,33839910000111
VIX LOGISTICA,VIX Logistica S.A.,,Vix Logistica S.A.,32681371000172
VLI,VLI S.A.,,,
VLI MULTIMODAL,VLI Multimodal S.A.,,VLI Multimodal S.A.,
VOKE,,,Voke S.A.,04212396000191
VOLTALIA SAO MIGUEL GOSTOSO PARTICIPACOES,Voltalia Sao Miguel do Gostoso Participacoes S.A.,,,
VOTORANTIM,Votorantim S.A.,Votorantim S.A.,Votorantim S.A.,
VOTORANTIM CIMENTOS,Votorantim Cimentos S.A. (VCSA),,,01637895000132
VPORTS AUTORIDADE PORTUARIA,VPorts Autoridade Portuaria S.A.,,,
WEG INTEGRADORES FUNDO INVESTIMENTO DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,,WEG Integradores Fundo de Investimento em Direitos Creditórios Recebíveis Comerciais Responsabilidade Limitada,,
WESTERN ASSET MANAGEMENT DTVM,,Western Asset Management DTVM Ltda.,,
WINDEPAR HOLDING,Windepar Holding S.A.,,,
WINITY,Winity S.A.,,,
XINGU RIO TRANSMISSORA ENERGIA,,Xingu Rio Transmissora de Energia S.A.,,
XP ADVISORY GESTAO RECURSOS,,XP Advisory Gestão de Recursos Ltda.,,15289957000177
XP ALLOCATION ASSET MANAGEMENT,,XP Allocation Asset Management Ltda.,,37918829000188
XP GESTAO RECURSOS,,XP Gestão de Recursos Ltda.,,07625200000189
XP INVESTIMENTOS,,,XP Investimentos S.A.,16838421000126
XP VISTA ASSET MANAGEMENT,,XP Vista Asset Management Ltda.,,16789525000198
YDUQS PARTICIPACOES,,,YDUQS Participacoes S.A.,08807432000110
YINSON BERGENIA PRODUCTION B.V,Yinson Bergenia Production B.V,,,
YINSON BORONIA PRODUCTION B.V.,Yinson Boronia Production B.V.,,,
ZAMP,Zamp S.A.,,,13574594000196
