nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
ASA BRANCA HOLDING,ASA Branca Holding S.A.,,,09359927000197
ASA LONGO PRAZO FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,Asa Longo Prazo Fundo de Investimento em Cotas de Fundo De investimento em Direitos Creditórios Responsabilidade Limitada,
ASA LONGO PRAZO II FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,Asa Longo Prazo II Fundo De Investimento Em Cotas De Fundo De Investimento Em Direitos Creditorios Responsabilidade Limitada,
ASSOCIACAO HOSPITALAR MOINHOS VENTO,,Associação Hospitalar Moinhos de Vento,,92685833000151
ASSOCIACAO POUPANCA EMPRESTIMO,,Associação de Poupança e Empréstimo - Poupex,,
ASSURUA 4 5 HOLDING ENERGIA,Assurua 4 e 5 Holding Energia S.A.,,,38286323000166
ATACADAO,,,Atacadao S.A.,75315333000109
ATHENA SAUDE,Athena Saude Brasil S.A.,,,31701408000114
ATHON GERACAO DISTRIBUIDA,Athon Geracao Distribuida S/A,,,30997588000160
ATHON GERACAO DISTRIBUIDA II,Athon Geracao Distribuida II S.A.,,,
ATHON GERACAO DISTRIBUIDA III,Athon Geracao Distribuida III S.A.,,,52948225000178
ATHON GERACAO DISTRIBUIDA VI,Athon Geracao Distribuida VI S.A.,,,58315021000186
ATLAS LUIZ CARLOS COMERCIALIZADORA ENERGIA,Atlas Luiz Carlos Comercializadora de Energia S.A,,,49037416000173
ATMOS CAPITAL GESTAO RECURSOS,,Atmos Capital Gestão de Recursos Ltda.,,10957035000177
AURA ALMAS MINERACAO,,,Aura Almas Mineracao S.A.,08213823000107
AURA MINERALS,,,Aura Minerals Inc.,07857093000114
AUREN ENERGIA,Auren Energia S.A.,Auren Energia S.A.,,28594234000123
AUREN OPERACOES,,Auren Operações S.A. (sucessora de AES Brasil Operações S.A.),,00194724000113
AUREN PARTICIPACOES,Auren Participacoes S.A.,Auren Participações S.A.,,37663076000107
AUSTRAL RESSEGURADORA,,,Austral Resseguradora S.A.,11536561000126
AUSTRAL SEGURADORA,,,Austral Seguradora S.A.,11521976000126
AUTOBAN,,,Autoban - Concessionaria do Sistema Anhanguera Bandeirantes S.A.,
AUTOMOB PARTICIPACOES,,AUTOMOB Participações S.A.,,35654688000108
AUTOMOTIVO FIDC,Automotivo FIDC (GM),,,
AUTOPISTA FERNAO DIAS,,,Autopista Fernao Dias S.A.,09326342000170
AUTOPISTA FLUMINENSE,,,Autopista Fluminense S.A.,09324949000111
AUTOPISTA LITORAL SUL,,,Autopista Litoral Sul S.A.,09313969000197
AUTOPISTA PLANALTO SUL,,,Autopista Planalto Sul S.A.,09325109000173
AUTOPISTA REGIS BITTENCOURT,,,Autopista Regis Bittencourt S.A.,09336431000106
