data_captura,no_entidade,link,Tipo de Rating,Rating,Data da Ação de Rating,Ação de Rating,CreditWatch/ Perspectiva,dt_captura
,Saneamento Ambiental Aguas do Brasil S.A.,https://www.fitchratings.com/entity/saneamento-ambiental-aguas-do-brasil-sa-92753891,National Long Term Rating,AAA(bra),2026-05-04,Affirmed,Rating Outlook Stable,2026-06-08
,Smartfit Escola de Ginastica e Danca S.A.,https://www.fitchratings.com/entity/smartfit-escola-de-ginastica-e-danca-sa-96173422,National Long Term Rating,AA+(bra),2026-05-04,Affirmed,Rating Outlook Stable,2026-06-08
,Energisa Rondonia Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-rondonia-distribuidora-de-energia-sa-97096965,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Alsol Energias Renovaveis S.A.,https://www.fitchratings.com/entity/alsol-energias-renovaveis-96810835,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Mato Grosso do Sul - Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-mato-grosso-do-sul-distribuidora-de-energia-sa-96223276,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Mato Grosso - Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-mato-grosso-distribuidora-de-energia-sa-96223279,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Acre - Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/energisa-acre-distribuidora-de-energia-sa-97096959,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Sul Sudeste - Distribuidora de Energia S/A,https://www.fitchratings.com/entity/energisa-sul-sudeste-distribuidora-de-energia-s-a-96689833,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa Transmissao de Energia S.A.,https://www.fitchratings.com/entity/energisa-transmissao-de-energia-sa-96724735,National Long Term Rating,AA+(bra),2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa S.A.,https://www.fitchratings.com/entity/energisa-sa-83598865,Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
,Energisa S.A.,https://www.fitchratings.com/entity/energisa-sa-83598865,Local Currency Long Term Issuer Default Rating,BB,2026-04-30,Downgrade,Rating Outlook Stable,2026-06-08
