data_captura,no_entidade,link,Tipo de Rating,Rating,Data da Ação de Rating,Ação de Rating,CreditWatch/ Perspectiva,dt_captura
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Support Rating,WD,2022-07-19,Withdrawn,,2026-06-08
,Companhia de Saneamento do Parana - SANEPAR,https://www.fitchratings.com/entity/companhia-de-saneamento-do-parana-sanepar-96358618,National Long Term Rating,AAA(bra),2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,BR Partners Banco de Investimento S.A.,https://www.fitchratings.com/entity/br-partners-banco-de-investimento-sa-94195914,National Short Term Rating,F1+(bra),2026-06-02,Affirmed,,2026-06-08
,BR Partners Banco de Investimento S.A.,https://www.fitchratings.com/entity/br-partners-banco-de-investimento-sa-94195914,National Long Term Rating,AA(bra),2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Long Term Issuer Default Rating,BB+,2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Short Term Issuer Default Rating,B,2026-06-02,Affirmed,,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Shareholder Support Rating,bb+,2026-06-02,Affirmed,,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,National Short Term Rating,F1+(bra),2026-06-02,Affirmed,,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,National Long Term Rating,AAA(bra),2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Local Currency Long Term Issuer Default Rating,BB+,2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Local Currency Short Term Issuer Default Rating,B,2026-06-02,Affirmed,,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Viability Rating,bb,2026-06-02,Affirmed,,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Support Rating,WD,2022-07-19,Withdrawn,,2026-06-08
,Banco ABC Brasil S.A.,https://www.fitchratings.com/entity/banco-abc-brasil-sa-80543393,Individual Rating,WD,2012-01-25,Withdrawn,,2026-06-08
,JSL S.A.,https://www.fitchratings.com/entity/jsl-sa-90188261,National Long Term Rating,AA(bra),2026-06-01,Affirmed,Rating Outlook Stable,2026-06-08
,JSL S.A.,https://www.fitchratings.com/entity/jsl-sa-90188261,Local Currency Long Term Issuer Default Rating,WD,2026-06-01,Withdrawn,,2026-06-08
,JSL S.A.,https://www.fitchratings.com/entity/jsl-sa-90188261,Long Term Issuer Default Rating,WD,2026-06-01,Withdrawn,,2026-06-08
