dt_captura,no_emissor,link
2026-08-27,Almeida Junior Shopping Centers S.A.,https://www.fitchratings.com/entity/almeida-junior-shopping-centers-sa-97620221
2026-08-27,Pottencial Seguradora S.A.,https://www.fitchratings.com/entity/pottencial-seguradora-s-a-91880919
2026-08-27,General Shopping e Outlets do Brasil S.A.,https://www.fitchratings.com/entity/general-shopping-e-outlets-do-brasil-sa-89879673
2026-08-27,Deutsche Bank S.A. - Banco Alemao,https://www.fitchratings.com/entity/deutsche-bank-sa-banco-alemao-80362444
2026-08-27,Desenvolve SP - Agencia de Fomento do Estado de Sao Paulo S.A.,https://www.fitchratings.com/entity/agencia-de-fomento-do-estado-de-sao-paulo-desenvolve-sp-96165830
2026-08-27,M Dias Branco S.A. Industria e Comercio de Alimentos,https://www.fitchratings.com/entity/m-dias-branco-sa-industria-e-comercio-de-alimentos-96568122
2026-08-27,DM Instituicao de Pagamento S.A.,https://www.fitchratings.com/entity/dmcard-cartoes-de-credito-sa-96604805
2026-08-27,Banco Societe Generale Brasil S.A.,https://www.fitchratings.com/entity/banco-societe-generale-brasil-sa-88390855
2026-08-27,Intesa Sanpaolo Brasil S.A. - Banco Multiplo,https://www.fitchratings.com/entity/intesa-sanpaolo-brasil-sa-banco-multiplo-97233617
2026-08-27,Banco BNP Paribas Brasil S.A.,https://www.fitchratings.com/entity/banco-bnp-paribas-brasil-sa-96216745
2026-08-27,Elfa Medicamentos S.A.,https://www.fitchratings.com/entity/elfa-medicamentos-sa-97629129
2026-08-27,Banco De Investimentos UBS (Brasil) S.A.,https://www.fitchratings.com/entity/banco-de-investimentos-credit-suisse-brasil-sa-82443519
2026-08-27,Banco Credit Agricole Brasil S.A.,https://www.fitchratings.com/entity/banco-credit-agricole-brasil-sa-90520083
2026-08-27,Samarco Mineracao S.A.,https://www.fitchratings.com/entity/samarco-mineracao-sa-80089959
2026-08-27,Companhia Pernambucana de Gas - Copergas,https://www.fitchratings.com/entity/companhia-pernambucana-de-gas-copergas-96353577
2026-08-27,Riza Securitizadora 2022-4-417 (CSN Cimentos),https://www.fitchratings.com/entity/virgo-companhia-de-securitizacao-2022-417-csn-cimentos-97341305
2026-08-27,"Vert Cia Securitizadora 2026-42-1,2,3,4,5 (J&F)",https://www.fitchratings.com/entity/vert-cia-securitizadora-2026-42-1-2-3-4-5-j-f-97895258
2026-08-27,Companhia de Gas de Sao Paulo - COMGAS,https://www.fitchratings.com/entity/companhia-de-gas-de-sao-paulo-comgas-91325765
2026-08-27,Opy Healthcare Gestao de Ativos e Investimentos S.A.,https://www.fitchratings.com/entity/opy-healthcare-gestao-de-ativos-e-investimentos-sa-97757705
2026-08-27,OZN Health SPE S.A.,https://www.fitchratings.com/entity/ozn-health-spe-sa-97757731
2026-08-27,Giga Mais Fibra Telecomunicacoes S.A.,https://www.fitchratings.com/entity/giga-mais-fibra-telecomunicacoes-sa-97922546
2026-08-27,Iguatemi S.A.,https://www.fitchratings.com/entity/iguatemi-sa-97371311
2026-08-27,Iguatemi Empresa de Shopping Centers S.A.,https://www.fitchratings.com/entity/iguatemi-empresa-de-shopping-centers-sa-91834892
2026-08-27,Farmacia e Drogaria Nissei S.A.,https://www.fitchratings.com/entity/farmacia-e-drogaria-nissei-sa-97127704
2026-08-27,CSN Mineracao S.A.,https://www.fitchratings.com/entity/csn-mineracao-sa-97398072
2026-08-27,Companhia Siderurgica Nacional (CSN),https://www.fitchratings.com/entity/companhia-siderurgica-nacional-csn-80091767
2026-08-27,Zamp S.A.,https://www.fitchratings.com/entity/bk-brasil-operacao-e-assessoria-restaurantes-sa-96269281
2026-08-27,Parana Banco S.A.,https://www.fitchratings.com/entity/parana-banco-sa-87015752
2026-08-27,Banco Agibank S.A.,https://www.fitchratings.com/entity/banco-agibank-sa-96590852
2026-08-27,Banco BMG S.A.,https://www.fitchratings.com/entity/banco-bmg-sa-80543435
2026-08-27,Banco Mercantil do Brasil S.A.,https://www.fitchratings.com/entity/banco-mercantil-do-brasil-sa-80360917
2026-08-27,Corporeos Servicos Terapeuticos S.A.,https://www.fitchratings.com/entity/corporeos-servicos-terapeuticos-sa-97572161
2026-08-27,MPM Corporeos S.A.,https://www.fitchratings.com/entity/mpm-corporeos-sa-97252184
2026-08-27,Banco Cooperativo Sicoob S.A. - Banco Sicoob,https://www.fitchratings.com/entity/banco-cooperativo-do-brasil-sa-80543444
2026-08-27,Banco de Lage Landen Brasil S.A.,https://www.fitchratings.com/entity/banco-de-lage-landen-brasil-sa-96897877
2026-08-27,Banco GM S.A.,https://www.fitchratings.com/entity/banco-gmac-sa-90420088
2026-08-27,Banco CNH Industrial Capital S.A.,https://www.fitchratings.com/entity/banco-cnh-industrial-capital-sa-80597992
2026-08-27,Banco John Deere S.A.,https://www.fitchratings.com/entity/banco-john-deere-sa-96800840
2026-08-27,Trusthub Securitizadora 2022-2 (Debenture SRM),https://www.fitchratings.com/entity/trusthub-securitizadora-2022-2-debenture-srm-97422627
2026-08-27,GOL Linhas Aereas Inteligentes S.A.,https://www.fitchratings.com/entity/gol-linhas-aereas-inteligentes-sa-83366465
2026-08-27,Dollar Diversified Payment Rights Finance Company,https://www.fitchratings.com/entity/dollar-diversified-payment-rights-finance-company-96767316
2026-08-27,Companhia Paraibana de Gas PBGAS,https://www.fitchratings.com/entity/companhia-paraibana-de-gas-pbgas-97518314
2026-08-27,Refinaria de Mataripe S.A.,https://www.fitchratings.com/entity/refinaria-de-mataripe-sa-97631572
2026-08-27,Anima Holding S.A.,https://www.fitchratings.com/entity/anima-holding-sa-94141490
2026-08-27,Mateus Supermercados S.A.,https://www.fitchratings.com/entity/mateus-supermercados-sa-96026490
2026-08-27,Laboratorio Sabin de Analises Clinicas S.A.,https://www.fitchratings.com/entity/laboratorio-sabin-de-analises-clinicas-ltda-96350585
2026-08-27,"Opea Securitizadora S.A. 2025-539-1,2 (Almeida Junior)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2025-539-1-2-almeida-junior-97818673
2026-08-27,Opea Securitizadora S.A. 2024-301-1 (Almeida Junior),https://www.fitchratings.com/entity/opea-securitizadora-sa-2024-301-1-almeida-junior-97635401
2026-08-27,Opea Securitizadora S.A. 2023-65-1 (Klabin),https://www.fitchratings.com/entity/true-securitizadora-sa-2023-1-klabin-97512311
2026-08-27,"Opea Securitizadora S.A. 2023-249-1,2,3 (Ache)",https://www.fitchratings.com/entity/true-securitizadora-2023-1-2-3-ache-97559536
2026-08-27,"Eco Securitizadora 2023-243-1,2 (FS)",https://www.fitchratings.com/entity/eco-securitizadora-2023-1-2-fs-97478869
2026-08-27,"Eco Securitizadora 2023-297-1,2,3,4 (FS)",https://www.fitchratings.com/entity/eco-securitizadora-2023-1-2-3-4-fs-97550365
2026-08-27,"Eco Securitizadora 2024-310-1,2,3,4 (FS)",https://www.fitchratings.com/entity/eco-securitizadora-2024-310-1-2-3-4-fs-97571861
2026-08-27,Eco Securitizadora 2022-167-2 (FS),https://www.fitchratings.com/entity/eco-securitizadora-2022-167-2-fs-agri-97377838
2026-08-27,"Eco Securitizadora 2024-331-1,2 (FS)",https://www.fitchratings.com/entity/eco-securitizadora-2024-331-1-2-fs-97612157
2026-08-27,"Eco Securitizadora 2022-140-1,2 (FS)",https://www.fitchratings.com/entity/eco-securitizadora-2022-1-2-fs-97340470
2026-08-27,"Eco Securitizadora 2023-264-1,2 (FS)",https://www.fitchratings.com/entity/eco-securitizadora-2023-264-1-2-fs-97506356
2026-08-27,Octante Securitizadora S.A. 2021-30-1 (FS),https://www.fitchratings.com/entity/octante-securitizadora-sa-97301621
2026-08-27,"Opea Securitizadora S.A. 2015-1-61,62 (Havan)",https://www.fitchratings.com/entity/true-securitizadora-sa-96221293
2026-08-27,Eco Securitizadora 2024-349-1 (Amaggi),https://www.fitchratings.com/entity/eco-securitizadora-2024-349-1-amaggi-97646656
2026-08-27,"Opea Securitizadora S.A. 2023-192-1,2,3 (Assai)",https://www.fitchratings.com/entity/true-securitizadora-2023-1-2-3-assai-97511042
2026-08-27,Banco Citibank S.A.,https://www.fitchratings.com/entity/banco-citibank-sa-80362437
2026-08-27,Banco Sumitomo Mitsui Brasileiro S.A.,https://www.fitchratings.com/entity/banco-sumitomo-mitsui-brasileiro-sa-97252790
2026-08-27,Bank of America Merrill Lynch Banco Multiplo S.A.,https://www.fitchratings.com/entity/bank-of-america-merrill-lynch-banco-multiplo-sa-93524890
2026-08-27,Goldman Sachs do Brasil Banco Multiplo S.A.,https://www.fitchratings.com/entity/goldman-sachs-do-brasil-banco-multiplo-sa-96473435
2026-08-27,Novo Banco Continental S.A. - Banco Multiplo,https://www.fitchratings.com/entity/novo-banco-continental-sa-banco-multiplo-97135767
2026-08-27,Banco Inbursa S.A.,https://www.fitchratings.com/entity/banco-inbursa-sa-96672806
2026-08-27,MV24 Capital B.V.,https://www.fitchratings.com/entity/mv24-capital-bv-96723498
2026-08-27,T V V - Terminal de Vila Velha S.A.,https://www.fitchratings.com/entity/t-v-v-terminal-de-vila-velha-sa-97292252
2026-08-27,Guara Norte S.a r.l.,https://www.fitchratings.com/entity/guara-norte-sa-rl-97044825
2026-08-27,Globo Comunicacao e Participacoes S.A.,https://www.fitchratings.com/entity/globo-comunicacao-e-participacoes-sa-87246572
2026-08-27,Alares Internet Participacoes S.A.,https://www.fitchratings.com/entity/alares-internet-participacoes-s-a-97182126
2026-08-27,Usinas Siderurgicas de Minas Gerais S.A. (Usiminas),https://www.fitchratings.com/entity/usinas-siderurgicas-de-minas-gerais-sa-usiminas-84742070
2026-08-27,Opea Securitizadora S.A. 2012-1-69 (Vibra Energia),https://www.fitchratings.com/entity/rb-capital-companhia-de-securitizacao-91840491
2026-08-27,Companhia de Gas de Minas Gerais - Gasmig,https://www.fitchratings.com/entity/companhia-de-gas-de-minas-gerais-gasmig-96692279
2026-08-27,Intelbras S.A. Industria de Telecomunicacao Eletronica Brasileira,https://www.fitchratings.com/entity/intelbras-sa-industria-de-telecomunicacao-eletronica-brasileira-97503302
2026-08-27,Opea Securitizadora S.A. 2021-14-1 (Eldorado),https://www.fitchratings.com/entity/rb-sec-companhia-de-securitizacao-2021-14-eldorado-brasil-97291861
2026-08-27,Veleiros Holdings S.A.,https://www.fitchratings.com/entity/veleiros-holdings-sa-97542659
2026-08-27,Ventos de Santa Tereza 07 Energias Renovaveis S.A.,https://www.fitchratings.com/entity/ventos-de-santa-tereza-07-energias-renovaveis-sa-97591492
2026-08-27,Auren Operacoes S.A.,https://www.fitchratings.com/entity/aes-brasil-operacoes-sa-97379391
2026-08-27,Potengi Holdings S.A.,https://www.fitchratings.com/entity/potengi-holdings-sa-97542650
2026-08-27,Auren Participacoes S.A.,https://www.fitchratings.com/entity/aes-brasil-energia-sa-97281499
2026-08-27,Auren Energia S.A.,https://www.fitchratings.com/entity/vtrm-energia-participacoes-sa-97036543
2026-08-27,AES Tucano Holding II S.A.,https://www.fitchratings.com/entity/aes-tucano-holding-ii-sa-97281834
2026-08-27,CESP - Companhia Energetica de Sao Paulo,https://www.fitchratings.com/entity/cesp-companhia-energetica-de-sao-paulo-97003909
2026-08-27,"Multiplike Securitizadora S.A. 2024-15-1,2,3 (Debentures Multiplike)",https://www.fitchratings.com/entity/multiplike-securitizadora-sa-2024-15-1-2-3-97681046
2026-08-27,Andre Maggi Participacoes S.A.,https://www.fitchratings.com/entity/andre-maggi-participacoes-sa-97060206
2026-08-27,FS I Industria de Etanol S.A,https://www.fitchratings.com/entity/fs-i-industria-de-etanol-sa-97809918
2026-08-27,FS Industria de Biocombustiveis Ltda.,https://www.fitchratings.com/entity/fs-agrisolutions-industria-de-biocombustiveis-ltda-96862589
2026-08-27,Somos Sistemas de Ensino S.A.,https://www.fitchratings.com/entity/somos-sistemas-de-ensino-sa-97273134
2026-08-27,QMC Telecom do Brasil Cessao de Infraestrutura S.A.,https://www.fitchratings.com/entity/qmc-telecom-do-brasil-cessao-de-infraestrutura-sa-97527625
2026-08-27,Mantiqueira Alimentos S.A.,https://www.fitchratings.com/entity/mantiqueira-alimentos-sa-97753425
2026-08-27,Yinson Bergenia Production B.V,https://www.fitchratings.com/entity/yinson-bergenia-production-bv-97746196
2026-08-27,Gerdau S.A.,https://www.fitchratings.com/entity/gerdau-sa-82273687
2026-08-27,Natura Cosmeticos S.A.,https://www.fitchratings.com/entity/natura-cosmeticos-sa-90714090
2026-08-27,Opea Securitizadora S.A. 2017-1-169 (Localiza),https://www.fitchratings.com/entity/rb-capital-companhia-de-securitizacao-2017-169-localiza-96576289
2026-08-27,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,https://www.fitchratings.com/entity/sociedade-beneficente-israelita-brasileira-hospital-albert-einstein-96628807
2026-08-27,Estado de Mato Grosso do Sul,https://www.fitchratings.com/entity/estado-de-mato-grosso-do-sul-97706435
2026-08-27,FIDC Consig Premium I - Responsabilidade Limitada,https://www.fitchratings.com/entity/fundo-de-investimento-em-direitos-creditorios-consig-premium-i-responsabilidade-limitada-97877954
2026-08-27,iCred FGTS Fundo de Investimento em Direitos Creditorios,https://www.fitchratings.com/entity/icred-fgts-fundo-de-investimento-em-direitos-creditorios-97587883
2026-08-27,"Eco Securitizadora 2026-454-1,2,3,4 (JBS)",https://www.fitchratings.com/entity/eco-securitizadora-2026-454-1-2-3-4-jbs-97909478
2026-08-27,Riza Securitizadora 2022-98-1 (JBS),https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2022-1-jbs-97357187
2026-08-27,Riza Securitizadora 2022-98-2 (JBS),https://www.fitchratings.com/entity/virgo-cia-de-securitizaco-2022-2-97358348
2026-08-27,Riza Securitizadora 2022-98-3 (JBS),https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2022-3-97358349
2026-08-27,Isa Energia Brasil S.A.,https://www.fitchratings.com/entity/companhia-de-transmissao-de-energia-eletrica-paulista-sa-cteep-87797443
2026-08-27,Rio Oil Finance Trust,https://www.fitchratings.com/entity/rio-oil-finance-trust-94216093
2026-08-27,Credito Universitario Fundo de Investimento em Direitos Creditorios,https://www.fitchratings.com/entity/credito-universitario-fundo-de-investimento-em-direitos-creditorios-96969819
2026-08-27,"Eco Securitizadora 2025-403-1,2,3,4,5 (BRF)",https://www.fitchratings.com/entity/eco-securitizadora-2025-403-1-2-3-4-5-brf-97768689
2026-08-27,"Opea Securitizadora S.A. 2025-490-1,2 (Rede D'Or)",https://www.fitchratings.com/entity/opea-securitizadora-sa-2025-490-1-2-rede-d-or-97786050
2026-08-27,Opea Securitizadora S.A. 2025-494-1 (Multiplan),https://www.fitchratings.com/entity/opea-securitizadora-sa-2025-494-1-multiplan-97787769
2026-08-27,"Eco Securitizadora 2025-404-1,2,3 (Mantiqueira)",https://www.fitchratings.com/entity/eco-securitizadora-2025-404-1-2-3-mantiqueira-97780236
2026-08-27,"Riza Securitizadora 2023-123-1,2,3 (Multiplan)",https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2023-1-2-3-multiplan-97544009
2026-08-27,"Eco Securitizadora 2025-405-1,2,3,4 (Lar)",https://www.fitchratings.com/entity/eco-securitizadora-2025-405-1-2-3-4-lar-97771682
2026-08-27,"Opea Securitizadora S.A. 2025-192-1,2,3 (Eldorado)",https://www.fitchratings.com/entity/opea-securitizadora-2025-192-1-2-3-eldorado-97787851
2026-08-27,"Eco Securitizadora 2024-318-1,2,3 (Marfrig)",https://www.fitchratings.com/entity/eco-securitizadora-2024-318-1-2-3-marfrig-97586433
2026-08-27,"Eco Securitizadora 2024-319-1,2,3 (Lar)",https://www.fitchratings.com/entity/eco-securitizadora-2024-319-1-2-3-lar-97588422
2026-08-27,"Riza Securitizadora 2025-263-1,2,3 (JBS)",https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2025-263-1-2-3-jbs-97705190
