dt_captura,no_emissor,link
2026-09-02,Rio Paraná Energia S.A.,
2026-09-02,SLC Agrícola S.A.,
2026-09-02,SYN Prop e Tech S.A.,
2026-09-02,Saneamento De Goiás S.A. - Saneago,
2026-09-02,Santa Maria Administração e Participação S.A.,
2026-09-02,Seara Alimentos Ltda.,
2026-09-02,Simpar S.A.,
2026-09-02,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,
2026-09-02,Softplan S.A.,
2026-09-02,Solar Bebidas S.A.,
2026-09-02,Sorocaba Refrescos S.A.,
2026-09-02,State Grid Brazil Holding S.A.,
2026-09-02,Sul Concessões e Participações S.A.,
2026-09-02,Suzano S.A.,
2026-09-02,São Carlos Empreendimentos e Participações S.A.,
2026-09-02,Telefônica Brasil S.A.,
2026-09-02,Thopen Energia S.A. (sucessora da RZK Energia S.A.),
2026-09-02,Top Service Serviços e Sistemas S.A.,
2026-09-02,Transmissora Aliança de Energia Elétrica S.A. (TAESA),
2026-09-02,Transportadora Associada de Gás S.A. - TAG,
2026-09-02,Tucano Holding II S.A.,
2026-09-02,Ultracargo Logística S.A.,
2026-09-02,Ultrapar Participações S.A.,
2026-09-02,Unidas Locadora S.A.,
2026-09-02,Unidas Locações e Serviços S.A.,
2026-09-02,Usinas Siderúrgicas de Minas Gerais S.A. - Usiminas,
2026-09-02,Vale S.A.,
2026-09-02,Valid Soluções S.A.,
2026-09-02,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",
2026-09-02,Vibra Energia S.A.,
2026-09-02,Votorantim S.A.,
2026-09-02,Ânima Holding S.A.,
2026-09-02,Afinitty Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Ceditórios,
2026-09-02,Arvin Capital Fundo de Investimento em Direitos Creditórios Recebíveis Comerciais Resp Limitada,
2026-09-02,BRZ Consignados V Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,
2026-09-02,BV AUTO III Segmento Financeiro Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-02,BYX Mozart Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-02,Banco C6 e Travessia - 16ª Debenture Estruturada (INSS),
2026-09-02,Cartão de Compra Supplier Fundo de Investimento em Direitos Creditórios III - Responsabilidade Limitada,
2026-09-02,Casa de Pedra Securitizadora de Crédito S.A. - Série Única da 19ª Emissão de CRIs (Risco Thopen Energy),
2026-09-02,Chemical XIV Fundo de Investimento em Direitos Creditórios,
2026-09-02,Cloudwalk A.I. Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-02,Cloudwalk Bela Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-02,Cloudwalk Big Picture I Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-02,Cloudwalk Big Picture II Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-02,Cloudwalk Big Picture III Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-02,Cloudwalk Big Picture IV Fundo de Investimento em Direitos Creditórios Segmento Meios de Pagamento,
2026-09-02,Cobuccio I Fundo de Investimento Em Direitos Creditórios - Segmento Meios de Pagamento Responsabilidade Limitada,
2026-09-02,Companhia Província de Securitização - 101ª Emissão de CRIs (Risco CashMe),
2026-09-02,Companhia Província de Securitização - 133ª Emissão de CRIs (Risco CashMe),
2026-09-02,"Companhia Província de Securitização - 1ª, 2ª e 3ª Séries da 102ª Emissão de CRIs (Risco Cyrela)",
2026-09-02,"Companhia Província de Securitização - 1ª, 2ª e 3ª Séries da 127ª Emissão de CRIs (Risco Cyrela)",
2026-09-02,"Companhia Província de Securitização. - 1ª, 2ª e 3ª Séries da 57ª Emissão de CRIs (Risco Cyrela)",
2026-09-02,Consignado PLGN I Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-02,Consignados V Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,
2026-09-02,Consignados VI Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,
2026-09-02,Consignados VIII Fundo de Investimento em Direitos Creditórios  – Responsabilidade Limitada,
2026-09-02,Creditcorp Securitizadora S.A. - 1ª e 2ª Séries da 7ª Emissão de Debêntures (Prata Digital),
2026-09-02,Driver Brasil Six Banco Volkswagen FIDC - Financiamento de Veículos,
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Series da 295ª Emissão de CRAs (Risco Be8),
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 23ª Emissão de CRAs (Risco Vamos),
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 342ª Emissão de CRAs (Risco Sorocaba Refrescos),
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 426ª Emissão de CRAs (Risco Alibem),
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª e 2ª Séries da 93ª Emissão de CRAs (Risco Vamos),
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 233ª Emissão de CRAs (Risco Vamos)",
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 292ª Emissão de CRAs (Risco Camil)",
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 296ª Emissão de CRAs (Risco Vamos)",
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 309ª Emissão de CRAs (Risco JSL)",
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª e 3ª Séries da 329ª Emissão de CRAs (Risco Camil)",
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª, 3ª e 4ª Séries da 389ª Emissão de CRAs (Risco Camil)",
2026-09-02,"Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - 1ª, 2ª, 3ª e 4ª Séries da 419ª Emissão de CRAs (Risco JBS)",
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - Série Única da 54ª Emissão de CRAs (Risco Vamos),
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - Série Única da 81ª Emissão de CRAs (Risco Vamos),
2026-09-02,Eco Securitizadora de Direitos Creditórios do Agronegócio S.A. - Série Única da 92ª Emissão de CRAs (Risco JSL),
2026-09-02,FIDC Cloudwalk Pi,
2026-09-02,FIDC Guardian INSS Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-02,FIDC Kiwify,
2026-09-02,FIDC PicPay FGTS,
2026-09-02,FIDC Stellantis Financiamentos Mobility I – Responsabilidade Limitada,
2026-09-02,Flowinvest Fundo de Investimento em Direitos Creditórios – Responsabilidade Limitada,
2026-09-02,Fundo De Investimento Em Direitos Creditórios Alion Consignados,
2026-09-02,Fundo de Investimento em Direitos Creditórios Agibank I Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Agibank II Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios BRZ Capital Consig I,
2026-09-02,Fundo de Investimento em Direitos Creditórios BV Auto I Segmento Financeiro – Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios BV Auto II Segmento Financeiro – Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Cap - Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Clientes BRF II,
2026-09-02,Fundo de Investimento em Direitos Creditórios Consignados IX (BRZ),
2026-09-02,Fundo de Investimento em Direitos Creditórios LF III,
2026-09-02,Fundo de Investimento em Direitos Creditórios MT FGTS Receivables II,
2026-09-02,Fundo de Investimento em Direitos Creditórios Noto Consignados,
2026-09-02,Fundo de Investimento em Direitos Creditórios Picpay FGTS II,
2026-09-02,Fundo de Investimento em Direitos Creditórios Prata Digital III FGTS Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada Flagship BTO Receivables (FIDC Atento),
2026-09-02,Fundo de Investimento em Direitos Creditórios Santander Auto Loans I Segmento Financeiro - Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Sol Agora IV,
2026-09-02,Fundo de Investimento em Direitos Creditórios Somacred Bach - Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Somacred Bach – Responsabilidade Limitada,
2026-09-02,Fundo de Investimento em Direitos Creditórios Somacred Sabemi III,
